Price,Adj Close,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,,
2015-06-23,38768.1875,44150.0,44600.0,44000.0,44350.0,2676531
2015-06-24,38065.7109375,43350.0,44250.0,43150.0,44250.0,2694795
2015-06-25,37846.18359375,43100.0,43400.0,42800.0,43100.0,3270655
2015-06-26,36880.265625,42000.0,42250.0,41550.0,41550.0,7935060
2015-06-29,37407.1328125,42600.0,43050.0,40600.0,41000.0,4892150
2015-06-30,37143.70703125,42300.0,42800.0,41950.0,42650.0,2598797
2015-07-01,37582.74609375,42800.0,43200.0,42250.0,42800.0,2126825
2015-07-02,36968.078125,42100.0,43000.0,42000.0,43000.0,2592544
2015-07-03,37451.03515625,42650.0,43100.0,42200.0,42700.0,2903385
2015-07-06,35782.64453125,40750.0,42050.0,40350.0,42000.0,4533535
2015-07-07,36309.4921875,41350.0,41850.0,41000.0,41200.0,3183795
2015-07-08,35914.36328125,40900.0,41300.0,40750.0,41100.0,3335846
2015-07-09,35958.265625,40950.0,41050.0,39600.0,40400.0,3018029
2015-07-10,35870.453125,40850.0,41300.0,40350.0,41250.0,2738522
2015-07-13,35607.01953125,40550.0,41850.0,40500.0,41450.0,3707444
2015-07-14,33236.15234375,37850.0,40650.0,37800.0,40600.0,15180511
2015-07-15,34509.39453125,39300.0,39400.0,38350.0,38400.0,8281669
2015-07-16,34641.1171875,39450.0,39500.0,38650.0,39000.0,2373825
2015-07-17,35080.1640625,39950.0,40500.0,38700.0,39500.0,3352178
2015-07-20,33938.63671875,38650.0,40350.0,38650.0,40150.0,2535208
2015-07-21,34289.87890625,39050.0,39350.0,38500.0,38950.0,2531422
2015-07-22,33543.484375,38200.0,39000.0,37750.0,39000.0,3986610
2015-07-23,34245.96875,39000.0,40300.0,38600.0,40000.0,8215778
2015-07-24,33850.81640625,38550.0,39450.0,38500.0,39250.0,3411382
2015-07-27,32709.283203125,37250.0,38850.0,36850.0,38500.0,4142170
2015-07-28,32577.576171875,37100.0,37650.0,36500.0,36500.0,3657208
2015-07-29,32489.771484375,37000.0,37600.0,36800.0,37450.0,3040352
2015-07-30,30294.509765625,34500.0,36800.0,34050.0,36550.0,9328208
2015-07-31,32577.576171875,37100.0,37100.0,34750.0,34800.0,7074785
2015-08-03,31567.76171875,35950.0,37100.0,35500.0,36500.0,5481242
2015-08-04,32709.283203125,37250.0,37950.0,35450.0,35450.0,4060733
2015-08-05,32753.193359375,37300.0,38300.0,37000.0,37850.0,3330999
2015-08-06,31699.47265625,36100.0,37750.0,36050.0,37750.0,3888988
2015-08-07,31787.28125,36200.0,36450.0,35050.0,35650.0,3381532
2015-08-10,31875.09765625,36300.0,36400.0,35750.0,36200.0,1336480
2015-08-11,31699.47265625,36100.0,37200.0,36100.0,36300.0,2890084
2015-08-12,31436.046875,35800.0,36400.0,35400.0,35600.0,2824462
2015-08-13,32401.953125,36900.0,36900.0,35850.0,35900.0,2748437
2015-08-14,32401.953125,36900.0,36900.0,36900.0,36900.0,0
2015-08-17,31304.326171875,35650.0,37400.0,35650.0,37300.0,3808016
2015-08-18,30777.466796875,35050.0,36400.0,34700.0,35800.0,4706366
2015-08-19,28977.357421875,33000.0,34800.0,32650.0,34500.0,8813242
2015-08-20,29021.259765625,33050.0,33550.0,32850.0,33050.0,4588759
2015-08-21,28099.259765625,32000.0,32250.0,31400.0,31400.0,6084203
2015-08-24,27265.056640625,31050.0,32350.0,30300.0,31600.0,8593829
2015-08-25,29416.404296875,33500.0,33950.0,31300.0,31300.0,11821629
2015-08-26,29372.498046875,33450.0,34200.0,32850.0,33500.0,6534943
2015-08-27,31172.607421875,35500.0,35500.0,34150.0,34200.0,7063277
2015-08-28,32401.953125,36900.0,37700.0,36300.0,36550.0,7382006
2015-08-31,31436.046875,35800.0,36850.0,35650.0,36850.0,4408499
2015-09-01,30206.701171875,34400.0,35450.0,34200.0,35150.0,6442285
2015-09-02,30162.79296875,34350.0,34600.0,33350.0,33500.0,4161070
2015-09-03,31084.802734375,35400.0,35700.0,34350.0,34350.0,4222565
2015-09-04,30601.84375,34850.0,35950.0,34650.0,35400.0,2437386
2015-09-07,30514.033203125,34750.0,35100.0,34300.0,34800.0,1624613
2015-09-08,30514.033203125,34750.0,35100.0,34600.0,35000.0,1494929
2015-09-09,31611.66015625,36000.0,36500.0,35650.0,35800.0,3035809
2015-09-10,31567.76171875,35950.0,35950.0,35400.0,35400.0,3079224
2015-09-11,30733.564453125,35000.0,35750.0,35000.0,35450.0,3242067
2015-09-14,30382.31640625,34600.0,35450.0,34350.0,35300.0,2163452
2015-09-15,29504.21875,33600.0,34600.0,33350.0,34500.0,3880824
2015-09-16,30821.37109375,35100.0,35350.0,33800.0,33800.0,3876376
2015-09-17,31743.376953125,36150.0,36450.0,35350.0,35750.0,4734065
2015-09-18,31392.1328125,35750.0,36450.0,35450.0,36400.0,3267741
2015-09-21,30557.9375,34800.0,35250.0,34700.0,35200.0,2538367
2015-09-22,30645.75390625,34900.0,35150.0,34700.0,34900.0,2004067
2015-09-23,30470.125,34700.0,35250.0,34350.0,34500.0,1641929
2015-09-24,29723.74609375,33850.0,34950.0,33600.0,34900.0,4172759
2015-09-25,30162.79296875,34350.0,34400.0,33400.0,33750.0,2813254
2015-09-30,29460.3125,33550.0,33800.0,33350.0,33700.0,4158644
2015-10-01,29592.02734375,33700.0,33950.0,33500.0,33750.0,3667742
2015-10-02,30338.4140625,34550.0,34750.0,33800.0,34200.0,3052650
2015-10-05,31040.890625,35350.0,35950.0,35100.0,35250.0,4367169
2015-10-06,32665.37890625,37200.0,37200.0,36250.0,36300.0,5944141
2015-10-07,32753.193359375,37300.0,37700.0,36800.0,37050.0,3879936
2015-10-08,32972.71484375,37550.0,38100.0,36600.0,38000.0,3824312
2015-10-12,32358.046875,36850.0,37550.0,36700.0,37550.0,2519174
2015-10-13,31611.66015625,36000.0,37150.0,35800.0,36800.0,2961513
2015-10-14,31962.896484375,36400.0,37050.0,35900.0,36300.0,3720738
2015-10-15,32270.234375,36750.0,36800.0,35850.0,35950.0,2943506
2015-10-16,31699.47265625,36100.0,37050.0,36000.0,36900.0,1899386
2015-10-19,31392.1328125,35750.0,36200.0,35600.0,36150.0,1967828
2015-10-20,31348.23046875,35700.0,36150.0,35250.0,36000.0,2686193
2015-10-21,29548.125,33650.0,35000.0,33600.0,35000.0,9957394
2015-10-22,28055.34765625,31950.0,33450.0,31850.0,33200.0,10914420
2015-10-23,28187.0625,32100.0,32950.0,32050.0,32400.0,6341772
2015-10-26,28889.546875,32900.0,33100.0,32300.0,32350.0,3326112
2015-10-27,28230.974609375,32150.0,32650.0,32050.0,32100.0,3535671
2015-10-28,27616.298828125,31450.0,32450.0,31400.0,32150.0,4322506
2015-10-29,27616.298828125,31450.0,32150.0,31300.0,31700.0,4273016
2015-10-30,26957.72265625,30700.0,31200.0,30450.0,31150.0,4640184
2015-11-02,28230.974609375,32150.0,32250.0,30400.0,30700.0,4493014
2015-11-03,28011.4453125,31900.0,33000.0,31550.0,32500.0,4453120
2015-11-04,28626.115234375,32600.0,32700.0,32100.0,32500.0,3276995
2015-11-05,28670.01953125,32650.0,32700.0,32200.0,32350.0,1928001
2015-11-06,27396.7734375,31200.0,32400.0,31050.0,32350.0,5219855
2015-11-09,27440.681640625,31250.0,31300.0,30400.0,30900.0,3563095
2015-11-10,27352.87109375,31150.0,31350.0,30600.0,30850.0,2724051
2015-11-11,27221.15234375,31000.0,31200.0,30550.0,30700.0,2898877
2015-11-12,26957.72265625,30700.0,31000.0,30700.0,30950.0,1537585
2015-11-13,27352.87109375,31150.0,31600.0,30500.0,30500.0,1962129
2015-11-16,26782.1015625,30500.0,30950.0,30500.0,30600.0,2351453
2015-11-17,26869.912109375,30600.0,31150.0,30600.0,31050.0,1935683
2015-11-18,26826.0078125,30550.0,30800.0,30050.0,30600.0,3137103
2015-11-19,27396.7734375,31200.0,31600.0,30700.0,30800.0,2525784
2015-11-20,27221.15234375,31000.0,31750.0,31000.0,31500.0,2097039
2015-11-23,26913.814453125,30650.0,31250.0,30600.0,31150.0,2430154
2015-11-24,26518.673828125,30200.0,30850.0,30100.0,30600.0,3308696
2015-11-25,28011.4453125,31900.0,32000.0,30400.0,30400.0,6941459
2015-11-26,28757.830078125,32750.0,34150.0,32250.0,32400.0,13223992
2015-11-27,28099.259765625,32000.0,33600.0,32000.0,33200.0,3890920
2015-11-30,27748.017578125,31600.0,32650.0,31600.0,32050.0,3917877
2015-12-01,27528.48828125,31350.0,31650.0,30900.0,31650.0,3752942
2015-12-02,27396.7734375,31200.0,31900.0,31200.0,31550.0,2731791
2015-12-03,27352.87109375,31150.0,31350.0,30850.0,31050.0,1730137
2015-12-04,27396.7734375,31200.0,31450.0,30600.0,30700.0,2125421
2015-12-07,26957.72265625,30700.0,31700.0,30700.0,31450.0,2238378
2015-12-08,26518.673828125,30200.0,30750.0,30050.0,30500.0,2483443
2015-12-09,26562.580078125,30250.0,30550.0,30100.0,30100.0,1524501
2015-12-10,26606.482421875,30300.0,30550.0,30050.0,30200.0,3145787
2015-12-11,26211.333984375,29850.0,30550.0,29600.0,30200.0,2725258
2015-12-14,25464.947265625,29000.0,29350.0,28550.0,29000.0,3669577
2015-12-15,25816.193359375,29400.0,29600.0,28800.0,29050.0,2006190
2015-12-16,26694.291015625,30400.0,30500.0,29900.0,30050.0,2601080
2015-12-17,26562.580078125,30250.0,30550.0,29800.0,30250.0,2210682
2015-12-18,26869.912109375,30600.0,30700.0,29800.0,29800.0,2854920
2015-12-21,26782.1015625,30500.0,30800.0,30250.0,30450.0,1576561
2015-12-22,28274.875,32200.0,32200.0,30800.0,31000.0,6861264
2015-12-23,28713.923828125,32700.0,33000.0,31900.0,32100.0,5331047
2015-12-24,27835.828125,31700.0,33150.0,31700.0,32950.0,3624175
2015-12-28,27133.345703125,30900.0,31850.0,30900.0,31750.0,2535636
2015-12-29,27847.376953125,31200.0,31550.0,30800.0,30900.0,1965713
2015-12-30,27445.732421875,30750.0,31450.0,30550.0,31100.0,1801261
2016-01-04,26910.20703125,30150.0,30750.0,30150.0,30550.0,1878039
2016-01-05,27311.8515625,30600.0,31200.0,30350.0,30500.0,2482905
2016-01-06,27445.732421875,30750.0,30900.0,30300.0,30600.0,2461593
2016-01-07,26954.83203125,30200.0,30750.0,30200.0,30400.0,2424880
2016-01-08,26508.55859375,29700.0,30100.0,29550.0,29800.0,3967121
2016-01-11,25571.388671875,28650.0,29500.0,28600.0,29400.0,5358223
2016-01-12,24812.728515625,27800.0,28900.0,27700.0,28600.0,4418384
2016-01-13,25080.490234375,28100.0,28450.0,28000.0,28100.0,3481523
2016-01-14,24901.982421875,27900.0,27900.0,27200.0,27300.0,3957935
2016-01-15,23920.185546875,26800.0,28300.0,26800.0,27950.0,5431851
2016-01-18,23830.9296875,26700.0,27000.0,25800.0,25900.0,3658921
2016-01-19,25259.001953125,28300.0,28300.0,26700.0,26700.0,4291742
2016-01-20,23920.185546875,26800.0,28100.0,26750.0,28050.0,4186899
2016-01-21,23741.67578125,26600.0,27250.0,26600.0,26600.0,2840628
2016-01-22,24232.576171875,27150.0,27600.0,27000.0,27200.0,2361216
2016-01-25,24991.240234375,28000.0,28200.0,27300.0,27550.0,2977310
2016-01-26,24857.35546875,27850.0,29100.0,27750.0,28000.0,5351814
2016-01-27,24678.84765625,27650.0,28350.0,27250.0,28100.0,3205822
2016-01-28,24678.84765625,27650.0,27750.0,26850.0,27450.0,3035447
2016-01-29,24366.45703125,27300.0,27350.0,26950.0,27250.0,2898720
2016-02-01,25348.255859375,28400.0,28650.0,27700.0,28100.0,4767927
